DTE,DTE Energy Co.,Utilities,MultiUtilities,
DD,Du Pont (E.I.),Materials,Diversified Chemicals,
DUK,Duke Energy,Utilities,Electric Utilities,1976-06-30
DNB,Dun & Bradstreet,Industrials,Research & Consulting Services,2008-12-02
ETFC,E*Trade,Financials,Investment Banking & Brokerage,2004-03-31
EMN,Eastman Chemical,Materials,Diversified Chemicals,1994-01-01
ETN,Eaton Corporation,Industrials,Industrial Conglomerates,
EBAY,eBay Inc.,Information Technology,Internet Software & Services,
ECL,Ecolab Inc.,Materials,Specialty Chemicals,1989-01-31
EIX,Edison Int'l,Utilities,Electric Utilities,
EW,Edwards Lifesciences,Health Care,Health Care Equipment,2011-04-01
EA,Electronic Arts,Information Technology,Home Entertainment Software,
EMR,Emerson Electric Company,Industrials,Industrial Conglomerates,1965-03-31
ENDP,Endo International,Health Care,Pharmaceuticals,2015-01-27
ETR,Entergy Corp.,Utilities,Electric Utilities,
EVHC,Envision Healthcare Corp,Health Care,Health Care Services,2016-12-02
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2008-12-19
EFX,Equifax Inc.,Industrials,Research & Consulting Services,
EQIX,Equinix,Real Estate,REITs,2015-03-20
EQR,Equity Residential,Real Estate,REITs,
ESS,Essex Property Trust Inc.,Real Estate,Residential REITs,2014-04-02
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,
ES,Eversource Energy,Utilities,MultiUtilities,
EXC,Exelon Corp.,Utilities,MultiUtilities,
EXPE,Expedia Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,2007-10-02
EXPD,Expeditors Int'l,Industrials,Air Freight & Logistics,2007-10-10
ESRX,Express Scripts,Health Care,Health Care Distributors,2003-09-25
EXR,Extra Space Storage,Real Estate,Specialized REITs,2016-01-19
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,
FFIV,F5 Networks,Information Technology,Networking Equipment,2010-12-20
FB,Facebook,Information Technology,Internet Software & Services,2013-12-23
FAST,Fastenal Co,Industrials,Building Products,2009-09-15
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2016-02-01
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,1980-12-31
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,
FITB,Fifth Third Bancorp,Financials,Banks,
FSLR,First Solar Inc,Information Technology,Semiconductors,2009-10-16
FE,FirstEnergy Corp,Utilities,Electric Utilities,
FISV,Fiserv Inc,Information Technology,Internet Software & Services,
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,2009-01-02
FLS,Flowserve Corporation,Industrials,Industrial Machinery,2008-10-02
FLR,Fluor Corp.,Industrials,Diversified Commercial Services,1980-03-31
FMC,FMC Corporation,Materials,Diversified Chemicals,2009-08-19
FTI,FMC Technologies Inc.,Energy,Oil & Gas Equipment & Services,2009-06-05
FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail,2016-04-04
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,
FTV,Fortive Corp,Industrials,Industrial Machinery,2016-07-01
FBHS,Fortune Brands Home & Security,Industrials,Building Products,2016-06-22
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,
FCX,Freeport-McMoran Cp & Gld,Materials,Copper,
FTR,Frontier Communications,Telecommunications Services,Integrated Telecommunications Services,
GPS,Gap (The),Consumer Discretionary,Apparel Retail,1986-08-31
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,2012-12-12
GD,General Dynamics,Industrials,Aerospace & Defense,
GE,General Electric,Industrials,Industrial Conglomerates,
GGP,General Growth Properties Inc.,Real Estate,Retail REITs,2013-12-10
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,1969-03-31
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2013-06-06
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,1973-12-31
GILD,Gilead Sciences,Health Care,Biotechnology,
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Materials,1981-06-30
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,
HBI,Hanesbrands Inc,Consumer Discretionary,Apparel Accessories & Luxury Goods,2015-03-20
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,
HAR,Harman Int'l Industries,Consumer Discretionary,Consumer Electronics,
HRS,Harris Corporation,Information Technology,Telecommunications Equipment,2008-09-22
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,1984-09-30
HCA,HCA Holdings,Health Care,Health Care Facilities,2015-01-27
HCP,HCP Inc.,Real Estate,REITs,2008-03-31
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,
HSIC,Henry Schein,Health Care,Health Care Distributors,2015-03-17
HES,Hess Corporation,Energy,Integrated Oil & Gas,1984-05-31
HPE,Hewlett Packard Enterprise,Information Technology,Technology Hardware Storage & Peripherals,2015-11-02
HOLX,Hologic,Health Care,Health Care Equipment,2016-03-30
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,1988-03-31
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,1964-03-31
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,2009-03-04
HST,Host Hotels & Resorts,Real Estate,REITs,2007-03-20
HPQ,HP Inc.,Information Technology,Computer Hardware,1974-12-31
HUM,Humana Inc.,Health Care,Managed Health Care,
HBAN,Huntington Bancshares,Financials,Banks,
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,2017-01-05
ITW,Illinois Tool Works,Industrials,Industrial Machinery,1986-02-28
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,2015-11-19
IR,Ingersoll-Rand PLC,Industrials,Industrial Conglomerates,2010-11-17
INTC,Intel Corp.,Information Technology,Semiconductors,1976-12-31
ICE,Intercontinental Exchange,Financials,Diversified Financial Services,2007-09-26
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,
IP,International Paper,Materials,Paper Packaging,
IPG,Interpublic Group,Consumer Discretionary,Advertising,1992-10-01
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,1976-03-31
INTU,Intuit Inc.,Information Technology,Internet Software & Services,2000-12-05
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,2008-06-02
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,2008-08-21
IRM,Iron Mountain Incorporated,Real Estate,REITs,2009-01-06
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,2015-07-01
JEC,Jacobs Engineering Group,Industrials,Industrial Conglomerates,2007-10-26
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,2008-11-06
JNJ,Johnson & Johnson,Health Care,Health Care Equipment,1973-06-30
JCI,Johnson Controls International,Industrials,Building Products,2010-08-27
JPM,JPMorgan Chase & Co.,Financials,Banks,1975-06-30
JNPR,Juniper Networks,Information Technology,Networking Equipment,
KSU,Kansas City Southern,Industrials,Railroads,2013-05-24
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,
KEY,KeyCorp,Financials,Banks,1994-03-01
KMB,Kimberly-Clark,Consumer Staples,Household Products,
KIM,Kimco Realty,Real Estate,REITs,
KMI,Kinder Morgan,Energy,Oil & Gas Refining & Marketing & Transportation,2012-05-25
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,2015-07-06
KR,Kroger Co.,Consumer Staples,Food Retail,
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,1983-09-30
LLL,L-3 Communications Holdings,Industrials,Industrial Conglomerates,
LH,Laboratory Corp. of America Holding,Health Care,Health Care Facilities,
LRCX,Lam Research,Information Technology,Semiconductor Equipment,2012-06-29
LEG,Leggett & Platt,Industrials,Industrial Conglomerates,
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,2007-08-27
LVLT,Level 3 Communications,Telecommunications Services,Alternative Carriers,2014-11-05
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,1970-12-31
LNC,Lincoln National,Financials,Multi-line Insurance,1976-06-30
LLTC,Linear Technology Corp.,Information Technology,Semiconductors,
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2016-05-23
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,1984-07-31
L,Loews Corp.,Financials,Multi-Sector Holdings,
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,1984-02-29
LYB,LyondellBasell,Materials,Diversified Chemicals,2012-09-05
MTB,M&T Bank Corp.,Financials,Banks,
MAC,Macerich,Real Estate,Retail REITs,2013-05-09
M,Macy's Inc.,Consumer Discretionary,Department Stores,
MNK,Mallinckrodt Plc,Health Care,Pharmaceuticals,2014-08-19
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,1991-05-01
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing & Transportation,2011-07-01
MAR,Marriott Int'l.,Consumer Discretionary,Hotels Resorts & Cruise Lines,
MMC,Marsh & McLennan,Financials,Insurance Brokers,1987-08-31
MLM,Martin Marietta Materials,Materials,Construction Materials,2014-07-02
MAS,Masco Corp.,Industrials,Building Products,1981-06-30
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,1982-03-31
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,1970-06-30
MCK,McKesson Corp.,Health Care,Health Care Distributors,
MJN,Mead Johnson,Consumer Staples,Packaged Foods & Meats,2009-12-21
MDT,Medtronic plc,Health Care,Health Care Equipment,1986-10-31
MRK,Merck & Co.,Health Care,Pharmaceuticals,
MET,MetLife Inc.,Financials,Life & Health Insurance,
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,2016-09-06
KORS,Michael Kors Holdings,Consumer Discretionary,Apparel Accessories & Luxury Goods,2013-11-13
MCHP,Microchip Technology,Information Technology,Semiconductors,2007-09-07
MU,Micron Technology,Information Technology,Semiconductors,1994-09-27
MSFT,Microsoft Corp.,Information Technology,Systems Software,1994-06-01
MAA,Mid-America Apartments,Real Estate,Residential REITs,2016-12-02
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,2013-12-23
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,1976-06-30
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,2012-10-02
MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals,2002-08-07
MNST,Monster Beverage,Consumer Staples,Soft Drinks,2012-06-28
MCO,Moody's Corp,Financials,Diversified Financial Services,
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,
MSI,Motorola Solutions Inc.,Information Technology,Telecommunications Equipment,
MUR,Murphy Oil,Energy,Integrated Oil & Gas,
MYL,Mylan N.V.,Health Care,Pharmaceuticals,
NDAQ,NASDAQ OMX Group,Financials,Diversified Financial Services,2008-10-22
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,
NAVI,Navient,Financials,Consumer Finance,2014-05-01
NTAP,NetApp,Information Technology,Internet Software & Services,
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,1989-04-30
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,2010-12-20
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,Gold,1969-06-30
NWSA,News Corp. Class A,Consumer Discretionary,Publishing,2013-08-01
NWS,News Corp. Class B,Consumer Discretionary,Publishing,2015-09-18
NEE,NextEra Energy,Utilities,MultiUtilities,1976-06-30
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,2013-07-09
NKE,Nike,Consumer Discretionary,Apparel Accessories & Luxury Goods,1988-11-30
NI,NiSource Inc.,Utilities,MultiUtilities,
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,2007-10-08
JWN,Nordstrom,Consumer Discretionary,Department Stores,1986-08-31
NSC,Norfolk Southern Corp.,Industrials,Railroads,
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,
NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense,1985-06-30
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,2010-01-29
NUE,Nucor Corp.,Materials,Steel,1985-04-30
NVDA,Nvidia Corporation,Information Technology,Semiconductors,
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,2009-03-27
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1982-12-31
OMC,Omnicom Group,Consumer Discretionary,Advertising,
OKE,ONEOK,Energy,Oil & Gas Exploration & Production,2010-03-15
ORCL,Oracle Corp.,Information Technology,Application Software,1989-08-31
PCAR,PACCAR Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,1980-12-31
PH,Parker-Hannifin,Industrials,Industrial Conglomerates,1985-11-30
PDCO,Patterson Companies,Health Care,Health Care Supplies,
PAYX,Paychex Inc.,Information Technology,Internet Software & Services,
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,2015-07-20
PNR,Pentair Ltd.,Industrials,Industrial Machinery,2012-10-01
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,2008-11-13
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,
PKI,PerkinElmer,Health Care,Health Care Equipment,1985-05-31
PRGO,Perrigo,Health Care,Pharmaceuticals,2011-12-19
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,
PCG,PG&E Corp.,Utilities,MultiUtilities,
PM,Philip Morris International,Consumer Staples,Tobacco,2008-03-31
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing & Transportation,2012-05-01
PNW,Pinnacle West Capital,Utilities,MultiUtilities,
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,2008-09-24
PBI,Pitney-Bowes,Industrials,Technology Hardware Software and Supplies,
PNC,PNC Financial Services,Financials,Banks,1988-04-30
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,Apparel Accessories & Luxury Goods,2007-02-02
PPG,PPG Industries,Materials,Diversified Chemicals,
PPL,PPL Corp.,Utilities,Electric Utilities,
PX,Praxair Inc.,Materials,Industrial Gases,1992-07-01
PCLN,Priceline.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2009-11-06
PFG,Principal Financial Group,Financials,Diversified Financial Services,
PG,Procter & Gamble,Consumer Staples,Personal Products,
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,
PLD,Prologis,Real Estate,REITs,
PRU,Prudential Financial,Financials,Diversified Financial Services,
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,
PSA,Public Storage,Real Estate,REITs,
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,1984-04-30
PVH,PVH Corp.,Consumer Discretionary,Apparel Accessories & Luxury Goods,2013-02-15
QRVO,Qorvo,Information Technology,Semiconductors,2015-06-11
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,
PWR,Quanta Services Inc.,Industrials,Industrial Conglomerates,2009-07-01
DGX,Quest Diagnostics,Health Care,Health Care Facilities,
RRC,Range Resources Corp.,Energy,Oil & Gas Exploration & Production,2007-12-21
RTN,Raytheon Co.,Industrials,Aerospace & Defense,
O,Realty Income Corporation,Real Estate,Retail REITs,2015-04-07
RHT,Red Hat Inc.,Information Technology,Systems Software,2009-07-27
REGN,Regeneron,Health Care,Biotechnology,2013-05-01
RF,Regions Financial Corp.,Financials,Diversified Financial Services,
RSG,Republic Services Inc,Industrials,Industrial Conglomerates,2008-12-05
RAI,Reynolds American Inc.,Consumer Staples,Tobacco,
RHI,Robert Half International,Industrials,Human Resource & Employment Services,
ROK,Rockwell Automation Inc.,Industrials,Industrial Conglomerates,
COL,Rockwell Collins,Industrials,Industrial Conglomerates,
ROP,Roper Industries,Industrials,Industrial Conglomerates,2009-12-23
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,2009-12-21
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,Hotels Resorts & Cruise Lines,2014-12-05
R,Ryder System,Industrials,Industrial Conglomerates,1982-12-31
SPGI,S&P Global Inc.,Financials,Diversified Financial Services,
CRM,Salesforce.com,Information Technology,Internet Software & Services,2008-09-15
SCG,SCANA Corp,Utilities,MultiUtilities,2009-01-02
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,1965-03-31
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,Broadcasting & Cable TV,2008-07-01
STX,Seagate Technology,Information Technology,Computer Storage & Peripherals,2012-07-02
SEE,Sealed Air,Materials,Paper Packaging,
SRE,Sempra Energy,Utilities,MultiUtilities,
SHW,Sherwin-Williams,Materials,Specialty Chemicals,1964-06-30
SIG,Signet Jewelers,Consumer Discretionary,Specialty Stores,2015-07-29
SPG,Simon Property Group Inc,Real Estate,REITs,
SWKS,Skyworks Solutions,Information Technology,Semiconductors,2015-03-12
SLG,SL Green Realty,Real Estate,Office REITs,2015-03-20
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances,1982-09-30
SO,Southern Co.,Utilities,Electric Utilities,
LUV,Southwest Airlines,Industrials,Airlines,1994-07-01
SWN,Southwestern Energy,Energy,Oil & Gas Exploration & Production,2008-06-06
SE,Spectra Energy Corp.,Energy,Oil & Gas Refining & Marketing & Transportation,
SWK,Stanley Black & Decker,Consumer Discretionary,Household Appliances,1982-09-30
